image_file,mask_file,has_slick,slick_area_pixels,slick_area_km2,slick_center_row,slick_center_col,slick_radius,slick_elongation,slick_angle,slick_dampening
00030.png,00030.png,1,8786,0.8786,71,63,45,1.4057056939963952,103.14665612244545,0.6640329011270749
00031.png,00031.png,1,8310,0.831,35,64,40,1.9585995890915862,44.491010716269315,0.49446632992911915
00032.png,00032.png,1,16218,1.6218,80,50,80,1.5715147160223286,111.86529435409324,0.7608824157327803
00033.png,00033.png,1,16282,1.6282,57,63,83,2.2267006921866783,154.91746723437365,0.7362069166865155
00034.png,00034.png,1,13875,1.3875,78,92,83,1.020845837644917,47.7463550619883,0.75174336528206
00035.png,00035.png,1,12621,1.2621,83,77,66,1.2079827546504225,146.98868306362075,0.7466659731186256
00036.png,00036.png,1,10727,1.0727,86,94,57,2.1629968321009416,137.7446818162058,0.4745674457408468
00037.png,00037.png,1,14962,1.4962,72,91,81,2.1088520152412302,122.80390784433844,0.6911638658045143
00038.png,00038.png,1,7001,0.7001,76,52,42,1.2685537220416818,88.43097644561976,0.7427224785355258
00039.png,00039.png,1,8026,0.8026,45,77,48,1.1292963992374019,172.0306119951505,0.8268546465142387
00040.png,00040.png,1,15708,1.5708,41,82,82,1.31226416572167,152.74517294436546,0.896804358244842
00041.png,00041.png,1,13307,1.3307,73,76,58,1.6360771863846688,175.164993756768,0.5397759360467644
00042.png,00042.png,1,5596,0.5596,87,45,35,1.5177361962039702,121.00887137415465,0.4087949581062623
00043.png,00043.png,1,14430,1.443,52,73,66,1.5041915837836402,19.013510255639638,0.4085142496164625
00044.png,00044.png,1,12411,1.2411,41,38,65,1.3991530338712492,33.96159825298108,0.8191525435246299
00045.png,00045.png,1,6847,0.6847,78,95,39,1.807431650936377,160.88852189513526,0.5165935513778996
00046.png,00046.png,1,16384,1.6384,89,49,94,1.7543166347368246,112.17705939516313,0.722395389230202
00047.png,00047.png,1,9593,0.9593,92,53,48,1.6443661798888303,150.9810211316054,0.8382501187198553
00048.png,00048.png,1,15308,1.5308,74,73,68,1.8784084235765617,50.79716485788863,0.649360225606845
00049.png,00049.png,1,11920,1.192,63,61,50,1.8660636851911339,75.36003179435458,0.8310247606275842
00050.png,00050.png,1,15797,1.5797,82,94,93,1.5803344080337727,163.5712225056719,0.46038156736854474
00051.png,00051.png,1,14964,1.4964,70,92,76,2.11935364776813,144.4312862945338,0.8427291874355817
00052.png,00052.png,1,12465,1.2465,87,95,68,2.2908406090312545,144.7445806051609,0.8641049478164722
00053.png,00053.png,1,16384,1.6384,47,84,96,2.400289795816173,138.10946389174234,0.6550399551829007
00054.png,00054.png,1,15225,1.5225,82,65,72,2.2140711285773786,136.97809501581068,0.4087994989968292
00055.png,00055.png,1,12540,1.254,50,85,65,1.263951612357806,98.73478224041514,0.6924564846422818
00056.png,00056.png,1,11229,1.1229,44,83,53,1.667735734950584,146.3157387994511,0.5667575893346801
00057.png,00057.png,1,15658,1.5658,62,80,74,2.4003472716566288,141.74927661934913,0.8601903349790231
00058.png,00058.png,1,14382,1.4382,76,64,68,1.2731635382924829,176.02312457082172,0.6862383930689827
00059.png,00059.png,1,16369,1.6369,62,45,91,1.583652431882995,92.3818904675338,0.7547228882440824
00060.png,00060.png,1,13548,1.3548,36,35,77,2.14722662373092,102.77094661742281,0.558269443080005
00061.png,00061.png,1,16260,1.626,89,61,97,1.101322386491069,80.30759951724106,0.6206805684445575
00062.png,00062.png,1,6269,0.6269,80,72,40,1.2470042944629691,7.820777169004083,0.6607147261913242
00063.png,00063.png,1,15789,1.5789,85,77,76,1.5914676879936986,48.066497744128796,0.5520784575329398
00064.png,00064.png,1,10047,1.0047,67,40,50,1.393876386268622,75.12378324733179,0.5547339195274372
00065.png,00065.png,1,5329,0.5329,61,70,34,1.4703925753107125,45.67638006662049,0.8676264668553644
00066.png,00066.png,1,11389,1.1389,32,65,53,1.9960246185881252,43.87582447024626,0.5580272096003775
00067.png,00067.png,1,12501,1.2501,68,34,61,1.750206671029008,49.2964123936392,0.49091974984980447
00068.png,00068.png,1,16223,1.6223,56,80,84,1.970087095923578,84.98286911933488,0.7672159044556048
00069.png,00069.png,1,14881,1.4881,52,69,70,1.171949144759674,71.1468267458994,0.7088976250412058
00070.png,00070.png,1,16226,1.6226,54,65,81,1.378427315306073,166.1289469606578,0.7101436721518276
00071.png,00071.png,1,6096,0.6096,67,42,32,2.1858519610455946,11.250821952971705,0.40744444098168775
00072.png,00072.png,1,8401,0.8401,67,68,33,2.478310340976799,133.8411445208093,0.5532607655437118
00073.png,00073.png,1,14527,1.4527,68,66,60,2.4454588406962703,119.63438482094331,0.8979515730947878
00074.png,00074.png,1,13115,1.3115,67,92,59,2.466086236029343,54.93753054769463,0.6278346451265782
00075.png,00075.png,1,14770,1.477,63,63,61,1.7173544018915936,77.46511780296179,0.7648439392643093
00076.png,00076.png,1,8964,0.8964,37,71,48,1.4813967476487129,115.97160489278676,0.7026733230725601
00077.png,00077.png,1,10071,1.0071,32,85,69,1.0103702434710748,38.063165715831694,0.8647238285258081
00078.png,00078.png,1,9571,0.9571,50,60,51,1.2345626130895226,86.1733208883916,0.5667178313313677
00079.png,00079.png,1,16193,1.6193,82,85,90,1.2316761533668859,18.45472206596869,0.6586608979629962
00080.png,00080.png,1,16046,1.6046,44,78,96,2.0036088950124196,48.954849879413786,0.6137792364770798
00081.png,00081.png,1,11586,1.1586,62,55,47,2.3425382711872365,15.96381493023845,0.7337440954399461
00082.png,00082.png,1,8004,0.8004,83,48,43,1.4562801462317012,153.740734263901,0.8299381092983852
00083.png,00083.png,1,15703,1.5703,74,70,77,1.9138206675778262,139.7892788254368,0.7505383708447613
00084.png,00084.png,1,12536,1.2536,83,87,66,1.551357829747399,111.48825641946495,0.824254478411922
00085.png,00085.png,1,6870,0.687,35,39,39,1.9337682905665177,142.62138756877843,0.4869872434134676
00086.png,00086.png,1,14483,1.4483,94,46,66,2.1564822940011075,101.65963586513838,0.6807703893082724
00087.png,00087.png,1,11355,1.1355,86,91,64,1.308302403969498,26.193671446877673,0.5202106864434424
00088.png,00088.png,1,12155,1.2155,33,78,60,1.5707019326052676,93.13912545438076,0.8554010885631891
00089.png,00089.png,1,7311,0.7311,91,41,46,1.3130094004859432,144.24872354922508,0.4423509539297451
00090.png,00090.png,1,14884,1.4884,70,71,64,1.5879556750668617,59.92225959512547,0.8310890998542122
00091.png,00091.png,1,16243,1.6243,95,84,84,2.05268290379855,54.0722251974617,0.8426648139472885
00092.png,00092.png,1,13297,1.3297,92,49,79,1.0675210956604704,18.645818515522745,0.44768987532955246
00093.png,00093.png,1,5999,0.5999,64,35,35,1.8803084960832577,9.133893176360452,0.6516393582544334
00094.png,00094.png,1,5515,0.5515,89,58,36,1.357633739343146,29.601077713759764,0.6340184132649548
00095.png,00095.png,1,11955,1.1955,86,37,50,2.2999050109960018,142.62578763988154,0.673702916685884
00096.png,00096.png,1,7385,0.7385,71,53,47,1.0623711030172591,70.21086788673858,0.7305362680578886
00097.png,00097.png,1,7035,0.7035,76,69,39,1.4957065662540712,110.29684807148271,0.8361721856119935
00098.png,00098.png,1,7668,0.7668,34,80,40,1.8626920913248226,145.58678029362875,0.8305409574480012
00099.png,00099.png,1,15633,1.5633,70,38,90,1.0930750869839272,48.315294684211146,0.5274145044871301
00100.png,00100.png,1,713,0.0713,69,91,14,1.1625675894018865,60.0689750221073,0.6135369553416743
00101.png,00101.png,1,1941,0.1941,71,76,20,1.5472743234156312,33.553564439488056,0.42750549174620156
00102.png,00102.png,1,2585,0.2585,82,69,22,1.70231215233001,169.22067271334504,0.8831748952064911
00103.png,00103.png,1,1309,0.1309,42,90,15,1.8541619788551804,20.900548541572075,0.8375119543130556
00104.png,00104.png,1,1649,0.1649,75,44,22,1.0838126342320913,141.50205471288322,0.5590393988243381
00105.png,00105.png,1,775,0.0775,88,46,15,1.0987528120728944,178.50175697089907,0.8855371087117913
00106.png,00106.png,1,2049,0.2049,67,68,19,1.8138784784740865,158.29381910977355,0.6005813554452193
00107.png,00107.png,1,739,0.0739,65,63,12,1.6423490603410351,90.65364359666044,0.4162344736389474
00108.png,00108.png,1,3212,0.3212,95,81,21,2.4799542920106945,50.47866512707168,0.7732291634154496
00109.png,00109.png,1,705,0.0705,65,78,12,1.5679282733695667,175.99851249631888,0.6460397774073429
00110.png,00110.png,1,4665,0.4665,50,47,25,2.3721197468829707,134.97664302147402,0.8590147551357736
00111.png,00111.png,1,1237,0.1237,72,64,13,2.342223764664886,10.529207939798653,0.5670682140711767
00112.png,00112.png,1,2437,0.2437,52,52,21,1.7555471350228682,156.19619365575934,0.60304960319685
00113.png,00113.png,1,821,0.0821,89,95,15,1.1617723826879298,109.36990620328669,0.5348691014999363
00114.png,00114.png,1,4095,0.4095,48,62,23,2.4579582585644557,4.268014089680944,0.4733255868352404
00115.png,00115.png,1,367,0.0367,95,61,9,1.4338521474793642,104.33967821787365,0.5403382973241031
00116.png,00116.png,1,1573,0.1573,67,91,19,1.3853932836447211,68.16248982179103,0.7324564051407738
00117.png,00117.png,1,3101,0.3101,50,71,25,1.5789796170424908,93.20846271689899,0.5406382744557937
00118.png,00118.png,1,1479,0.1479,36,90,15,2.085426981177145,40.87312751387878,0.4777877522156715
00119.png,00119.png,1,3123,0.3123,50,49,22,2.0522249442714435,44.26013671527515,0.7570118540877617
00120.png,00120.png,1,759,0.0759,37,49,12,1.6848579682247256,88.45173131060726,0.48490224217991645
00121.png,00121.png,1,3001,0.3001,57,90,23,1.8044292314209631,45.55912938633437,0.6838991022812901
00122.png,00122.png,1,1147,0.1147,91,88,17,1.2590731234727734,76.97223703647155,0.8703861506018642
00123.png,00123.png,1,2931,0.2931,49,63,22,1.927910398219292,120.59992710855674,0.6643275102208634
00124.png,00124.png,1,2511,0.2511,56,60,23,1.509511837685578,125.73044614425505,0.4583481258113528
00125.png,00125.png,1,501,0.0501,40,74,11,1.3126629979991653,158.56291495862905,0.8725598555693534
00126.png,00126.png,1,1135,0.1135,58,63,16,1.4083370234085828,165.59860271401612,0.8963571689351126
00127.png,00127.png,1,2791,0.2791,82,47,22,1.8285351553370859,144.334760612965,0.782898955153072
00128.png,00128.png,1,2007,0.2007,90,56,18,1.976650197251174,30.555587726414448,0.6459521607846309
00129.png,00129.png,1,1015,0.1015,61,66,16,1.2560779539230955,29.56204627311908,0.857542675743292
00130.png,00130.png,1,1025,0.1025,82,58,17,1.1289700684336872,174.6446274741317,0.8441840357570343
00131.png,00131.png,1,1353,0.1353,87,61,19,1.189526427204755,77.19001890071692,0.7351216994423144
00132.png,00132.png,1,2349,0.2349,80,39,19,2.0661257496007472,153.71792799184894,0.40811360979544137
00133.png,00133.png,1,433,0.0433,39,64,9,1.669769499528884,155.33898695970055,0.7328527135361498
00134.png,00134.png,1,1153,0.1153,87,66,18,1.1379138293870956,140.50030085991295,0.5661903625806269
00135.png,00135.png,1,4791,0.4791,64,53,26,2.277624247655685,161.4973742317377,0.5903535504677192
00136.png,00136.png,1,3153,0.3153,60,90,25,1.6052099230222754,132.2193078869068,0.4937289513266353
00137.png,00137.png,1,2959,0.2959,93,53,20,2.3620014624473518,43.540857945079324,0.7035742839876834
00138.png,00138.png,1,343,0.0343,89,33,9,1.3570712067650177,128.97951333279295,0.46293557141897984
00139.png,00139.png,1,2205,0.2205,89,57,26,1.0365722591645241,54.7393603999201,0.4800926830895158
00140.png,00140.png,1,1565,0.1565,44,33,19,1.376117652982323,96.18188055097797,0.8127010614159533
00141.png,00141.png,1,481,0.0481,37,46,9,1.8813682018321445,119.42482822620589,0.7602915124080659
00142.png,00142.png,1,599,0.0599,64,50,9,2.329244905465388,163.76537117702952,0.7856837431111585
00143.png,00143.png,1,1475,0.1475,94,78,16,1.8435006898005935,167.34992939198327,0.516344005840591
00144.png,00144.png,1,1811,0.1811,93,62,22,1.1924945607888224,104.69093948085252,0.6814672955560928
00145.png,00145.png,1,1405,0.1405,77,46,18,1.3821399201906834,70.78734593260002,0.5872374364518377
00146.png,00146.png,1,1001,0.1001,60,73,14,1.6298277516282091,174.59391727784768,0.5839064623348005
00147.png,00147.png,1,1179,0.1179,39,38,17,1.2999618661391719,106.41349522648778,0.40629822760766193
00148.png,00148.png,1,2193,0.2193,71,60,22,1.4394503651342432,160.74629943408908,0.4404276804411547
00149.png,00149.png,1,1631,0.1631,95,87,19,1.4415866582611296,27.73098180686462,0.5716746110837936
00150.png,00150.png,1,963,0.0963,65,49,17,1.059668338356973,146.11355160498343,0.7627499169127159
00151.png,00151.png,1,2201,0.2201,38,94,20,1.7572928029797188,89.4569603379072,0.5152597093964795
00152.png,00152.png,1,871,0.0871,94,79,16,1.0789839716167604,45.60318004679195,0.8113566120384028
00153.png,00153.png,1,1061,0.1061,32,64,17,1.1629293417590991,118.17319805642012,0.6183860681507269
00154.png,00154.png,1,3968,0.3968,45,40,24,2.3054630459216714,151.10505759496726,0.8690304905172502
00155.png,00155.png,1,489,0.0489,94,34,11,1.2844728650740886,25.52281200714392,0.7569480787379611
00156.png,00156.png,1,917,0.0917,67,69,15,1.3097742239754067,155.0204434989277,0.7071396237130447
00157.png,00157.png,1,2347,0.2347,76,76,22,1.5405140526822174,28.906229570366637,0.6757407756162623
00158.png,00158.png,1,2587,0.2587,61,51,24,1.4269527412999066,145.69564233895602,0.4026056891639538
00159.png,00159.png,1,777,0.0777,38,59,10,2.4720933823217965,22.495393828028377,0.415315195264196
00160.png,00160.png,1,4084,0.4084,33,91,25,2.4128648526844927,175.6246606853257,0.6885604499553033
00161.png,00161.png,1,3965,0.3965,38,72,24,2.1938580358539133,36.79180069436848,0.4568406956379626
00162.png,00162.png,1,1009,0.1009,88,91,12,2.2204410781558197,76.51837968697181,0.6216582801646788
00163.png,00163.png,1,3837,0.3837,77,66,25,1.9569799703631239,151.92145602218247,0.4475379710188583
00164.png,00164.png,1,2471,0.2471,40,61,19,2.175561807304719,77.23231062902815,0.4619212780418015
00165.png,00165.png,1,841,0.0841,94,63,12,1.879708835213832,26.929367943152325,0.700726273268627
00166.png,00166.png,1,1015,0.1015,69,90,13,1.899691997888609,98.8301764802611,0.6455798698300251
00167.png,00167.png,1,2565,0.2565,91,57,21,1.8606513904206725,169.06272471755648,0.5464979807901131
00168.png,00168.png,1,457,0.0457,36,78,9,1.8207003449172823,117.55139511392127,0.8925970886064856
00169.png,00169.png,1,753,0.0753,94,61,11,1.9952794842672412,42.26087697835615,0.8397482204976152
00170.png,00170.png,1,495,0.0495,93,58,9,1.9696005481790948,16.411943157607652,0.7318008632078911
00171.png,00171.png,1,4033,0.4033,90,43,26,1.9020694746686497,29.54973276421646,0.837128663679874
00172.png,00172.png,1,789,0.0789,67,94,11,2.0916033428178817,150.2217216709515,0.8095768919729769
00173.png,00173.png,1,1939,0.1939,71,87,18,1.9116944988488458,39.479829817864406,0.6671555037949634
00174.png,00174.png,1,1067,0.1067,37,74,13,2.0153119839742377,23.704197719542634,0.7260519153879812
00175.png,00175.png,1,1677,0.1677,84,86,21,1.211003287918807,7.11201609902832,0.7216848267896487
00176.png,00176.png,1,859,0.0859,34,89,14,1.384503476557335,116.06576846244535,0.5259019390323035
00177.png,00177.png,1,1717,0.1717,76,61,21,1.247355736474144,176.82680486202528,0.6012645109894933
00178.png,00178.png,1,2251,0.2251,63,39,18,2.213821441281379,175.42623085951195,0.46883418859379766
00179.png,00179.png,1,921,0.0921,93,44,13,1.7260618381137072,115.3618078905067,0.48833173415521064
00180.png,00180.png,1,3439,0.3439,77,93,22,2.258961475468288,84.67567729860974,0.4209142031444344
00181.png,00181.png,1,2497,0.2497,66,35,20,1.9909201485385473,88.21843986817426,0.7476259894632323
00182.png,00182.png,1,3381,0.3381,58,57,23,2.0308203544972505,172.25134944311972,0.8505755907802505
00183.png,00183.png,1,1125,0.1125,65,72,16,1.4060747252834713,89.93889423759731,0.804275426572605
00184.png,00184.png,1,1761,0.1761,39,39,19,1.5466862386539746,132.12496144386054,0.8953394795366455
00185.png,00185.png,1,769,0.0769,78,60,13,1.4374653284832755,74.125026778442,0.689827299208533
00186.png,00186.png,1,1725,0.1725,54,52,21,1.243023696765598,69.91734382868233,0.7806589473692241
00187.png,00187.png,1,643,0.0643,78,53,9,2.492661371945058,118.33091598401172,0.7414493061638038
00188.png,00188.png,1,2305,0.2305,45,58,19,2.0282394576235996,27.561731761391524,0.7009222913860492
00189.png,00189.png,1,3483,0.3483,42,92,22,2.2895825597867248,54.50569893512512,0.5721893012341659
00190.png,00190.png,1,3697,0.3697,42,35,26,1.8718982474260157,164.13882336296086,0.5023240788883614
00191.png,00191.png,1,885,0.0885,45,47,13,1.6799433782598001,38.02554379889848,0.5370742895789724
00192.png,00192.png,1,381,0.0381,57,91,9,1.4837280259655743,57.081997398903496,0.5998675958043092
00193.png,00193.png,1,4671,0.4671,82,67,26,2.3512990241251646,105.75878798547613,0.7170456645820074
00194.png,00194.png,1,1303,0.1303,68,55,14,2.1229741467767784,48.46685175334358,0.5422759027438724
00195.png,00195.png,1,1569,0.1569,69,51,15,2.2177173524643656,176.51853730973687,0.870187128285105
00196.png,00196.png,1,1247,0.1247,85,64,17,1.3719843786438812,51.962911741522646,0.6604925000991297
00197.png,00197.png,1,2231,0.2231,69,58,23,1.3444764819006843,3.2696710075052726,0.43094503721592636
00198.png,00198.png,1,2713,0.2713,82,78,24,1.4983111509683638,67.42672255489688,0.8677683602102937
00199.png,00199.png,1,2005,0.2005,72,82,16,2.478794759986529,25.38418693549813,0.48253784424565305
00200.png,00200.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00201.png,00201.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00202.png,00202.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00203.png,00203.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00204.png,00204.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00205.png,00205.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00206.png,00206.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00207.png,00207.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00208.png,00208.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00209.png,00209.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00210.png,00210.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00211.png,00211.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00212.png,00212.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00213.png,00213.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00214.png,00214.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00215.png,00215.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00216.png,00216.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00217.png,00217.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00218.png,00218.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00219.png,00219.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00220.png,00220.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00221.png,00221.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00222.png,00222.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00223.png,00223.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00224.png,00224.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00225.png,00225.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00226.png,00226.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00227.png,00227.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00228.png,00228.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00229.png,00229.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00230.png,00230.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00231.png,00231.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00232.png,00232.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00233.png,00233.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00234.png,00234.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00235.png,00235.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00236.png,00236.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00237.png,00237.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00238.png,00238.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00239.png,00239.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00240.png,00240.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00241.png,00241.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00242.png,00242.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00243.png,00243.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00244.png,00244.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00245.png,00245.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00246.png,00246.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00247.png,00247.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00248.png,00248.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00249.png,00249.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00250.png,00250.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00251.png,00251.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00252.png,00252.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00253.png,00253.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00254.png,00254.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00255.png,00255.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00256.png,00256.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00257.png,00257.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00258.png,00258.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00259.png,00259.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00260.png,00260.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00261.png,00261.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00262.png,00262.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00263.png,00263.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00264.png,00264.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00265.png,00265.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00266.png,00266.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00267.png,00267.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00268.png,00268.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00269.png,00269.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00270.png,00270.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00271.png,00271.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00272.png,00272.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00273.png,00273.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00274.png,00274.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00275.png,00275.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00276.png,00276.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00277.png,00277.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00278.png,00278.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00279.png,00279.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00280.png,00280.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00281.png,00281.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00282.png,00282.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00283.png,00283.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00284.png,00284.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00285.png,00285.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00286.png,00286.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00287.png,00287.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00288.png,00288.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00289.png,00289.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00290.png,00290.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00291.png,00291.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00292.png,00292.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00293.png,00293.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00294.png,00294.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00295.png,00295.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00296.png,00296.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00297.png,00297.png,0,0,0.0,-1,-1,-1,-1,-1,-1
00298.png,00298.png,0,0,0.0,-1,-1,-1,-1,-1,-1
